,Application#,Application Type,Date,Status,ProjectName
31,14 161946 FSU 00,Fire/Security Upgrade,"May 29, 2014",Permit Issued,200 BLOOR ST E
32,14 163695 HVA 00,Mechanical(MS),"May 29, 2014",Permit Issued,200 BLOOR ST E
33,14 163695 PLB 00,Plumbing(PS),"May 29, 2014",Permit Issued,200 BLOOR ST E
34,14 163707 HVA 00,Mechanical(MS),"May 29, 2014",Permit Issued,200 BLOOR ST E
35,14 163695 BLD 00,Building Additions/Alterations,"May 28, 2014",Permit Issued,200 BLOOR ST E
36,14 163707 BLD 00,Building Additions/Alterations,"May 28, 2014",Permit Issued,200 BLOOR ST E
37,14 162739 BLD 00,Building Additions/Alterations,"May 27, 2014",Permit Issued,200 BLOOR ST E
38,14 160178 BLD 00,Building Additions/Alterations,"May 22, 2014",Inspection,200 BLOOR ST E
39,14 150732 FSU 00,Fire/Security Upgrade,"May 2, 2014",Inspection,200 BLOOR ST E
40,14 150875 BLD 00,Building Additions/Alterations,"May 2, 2014",Inspection,200 BLOOR ST E
41,14 150880 BLD 00,Building Additions/Alterations,"May 2, 2014",Inspection,200 BLOOR ST E
42,14 142711 FSU 00,Fire/Security Upgrade,"Apr 16, 2014",Permit Issued,200 BLOOR ST E
43,14 136128 BLD 00,Building Additions/Alterations,"Apr 1, 2014",Inspection,200 BLOOR ST E
44,14 136128 PLB 00,Plumbing(PS),"Apr 1, 2014",Inspection,200 BLOOR ST E
45,14 134503 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,200 BLOOR ST E
46,14 134511 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,200 BLOOR ST E
47,14 134514 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,200 BLOOR ST E
48,14 134516 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,200 BLOOR ST E
49,14 118461 BLD 01,Building Additions/Alterations,"Mar 26, 2014",Revision Issued,200 BLOOR ST E
50,14 118461 BLD 00,Building Additions/Alterations,"Feb 18, 2014",Inspection,200 BLOOR ST E
51,14 109636 FSU 00,Fire/Security Upgrade,"Jan 28, 2014",Inspection,200 BLOOR ST E
52,13 279034 BLD 00,Building Additions/Alterations,"Dec 17, 2013",Inspection,200 BLOOR ST E
53,13 279034 PLB 00,Plumbing(PS),"Dec 17, 2013",Permit Issued,200 BLOOR ST E
54,13 279041 BLD 00,Building Additions/Alterations,"Dec 17, 2013",Inspection,200 BLOOR ST E
55,13 274614 BLD 00,Building Additions/Alterations,"Dec 5, 2013",Inspection,200 BLOOR ST E
56,13 274614 HVA 00,Mechanical(MS),"Dec 5, 2013",Inspection,200 BLOOR ST E
57,13 274619 BLD 00,Building Additions/Alterations,"Dec 5, 2013",Inspection,200 BLOOR ST E
58,13 269732 BLD 00,Building Additions/Alterations,"Nov 25, 2013",Inspection,200 BLOOR ST E
59,13 269738 BLD 00,Building Additions/Alterations,"Nov 25, 2013",Inspection,200 BLOOR ST E
60,13 269738 PLB 00,Plumbing(PS),"Nov 25, 2013",Permit Issued,200 BLOOR ST E
61,13 265527 BLD 00,Building Additions/Alterations,"Nov 14, 2013",Inspection,200 BLOOR ST E
62,13 242218 FSU 00,Fire/Security Upgrade,"Sep 26, 2013",Inspection,200 BLOOR ST E
63,13 225518 BLD 00,Building Additions/Alterations,"Aug 23, 2013",Permit Issued,200 BLOOR ST E
64,13 225518 HVA 00,Mechanical(MS),"Aug 23, 2013",Permit Issued,200 BLOOR ST E
65,13 225534 BLD 00,Building Additions/Alterations,"Aug 23, 2013",Inspection,200 BLOOR ST E
66,13 225534 HVA 00,Mechanical(MS),"Aug 23, 2013",Inspection,200 BLOOR ST E
0,21 225597 DST 00,Designated Structures,"Oct 18, 2021",Inspection,200 BLOOR ST W
1,21 225597 SGN 00,Sign Permit,"Oct 15, 2021",Inspection,200 BLOOR ST W
2,20 228318 PLB 01,Plumbing(PS),"Oct 1, 2021",Revision Issued,200 BLOOR ST W
3,19 153441 HVA 01,Mechanical(MS),"Jan 4, 2021",Revision Issued,200 BLOOR ST W
4,20 228318 BLD 00,Building Additions/Alterations,"Dec 16, 2020",Inspection,200 BLOOR ST W
5,20 228318 HVA 00,Mechanical(MS),"Dec 16, 2020",Inspection,200 BLOOR ST W
6,20 228318 PLB 00,Plumbing(PS),"Dec 16, 2020",Inspection,200 BLOOR ST W
7,20 165873 MSA 00,Mechanical(MS),"Jul 16, 2020",Permit Issued,200 BLOOR ST W
8,19 255215 PSA 00,Plumbing(PS),"Nov 28, 2019",Permit Issued,200 BLOOR ST W
9,19 162911 BLD 01,Building Additions/Alterations,"Oct 17, 2019",Pending Cancellation,200 BLOOR ST W
10,19 162911 BLD 00,Building Additions/Alterations,"May 30, 2019",Permit Issued,200 BLOOR ST W
11,19 162911 HVA 00,Mechanical(MS),"May 30, 2019",Permit Issued,200 BLOOR ST W
12,19 162911 PLB 00,Plumbing(PS),"May 30, 2019",Permit Issued,200 BLOOR ST W
13,19 153441 HVA 00,Mechanical(MS),"May 13, 2019",Inspection,200 BLOOR ST W
14,16 142099 BLD 00,Building Additions/Alterations,"Apr 20, 2016",Inspection,200 BLOOR ST W
15,16 142099 HVA 00,Mechanical(MS),"Apr 20, 2016",Inspection,200 BLOOR ST W
16,16 142099 PLB 00,Plumbing(PS),"Apr 20, 2016",Inspection,200 BLOOR ST W
0,19 153441 HVA 01,Mechanical(MS),"Jan 4, 2021",Revision Issued,202 BLOOR ST W
1,19 255215 PSA 00,Plumbing(PS),"Nov 28, 2019",Permit Issued,202 BLOOR ST W
2,19 153441 HVA 00,Mechanical(MS),"May 13, 2019",Inspection,202 BLOOR ST W
0,07 263168 PLB 03,Plumbing(PS),"Mar 28, 2017",Revision Issued,204 BLOOR ST W
1,16 183257 BLD 00,Building Additions/Alterations,"Jun 30, 2016",Permit Issued,204 BLOOR ST W
2,07 263168 BLD 03,New Building,"Apr 24, 2015",Revision Issued,204 BLOOR ST W
3,07 263168 HVA 02,Mechanical(MS),"Apr 24, 2015",Revision Issued,204 BLOOR ST W
4,07 263168 PLB 02,Plumbing(PS),"Apr 24, 2015",Revision Issued,204 BLOOR ST W
5,07 263168 BLD 02,New Building,"Apr 25, 2013",Revision Issued,204 BLOOR ST W
6,07 263168 HVA 01,Mechanical(MS),"Apr 25, 2013",Revision Issued,204 BLOOR ST W
7,07 263168 PLB 01,Plumbing(PS),"Apr 25, 2013",Revision Issued,204 BLOOR ST W
0,22 148510 HVA 00,Mechanical(MS),"May 25, 2022",Permit Issued,220 BLOOR ST E
1,22 148510 BLD 00,Building Additions/Alterations,"May 24, 2022",Permit Issued,220 BLOOR ST E
2,14 163695 HVA 00,Mechanical(MS),"May 29, 2014",Permit Issued,220 BLOOR ST E
3,14 163695 PLB 00,Plumbing(PS),"May 29, 2014",Permit Issued,220 BLOOR ST E
4,14 163707 HVA 00,Mechanical(MS),"May 29, 2014",Permit Issued,220 BLOOR ST E
5,14 163695 BLD 00,Building Additions/Alterations,"May 28, 2014",Permit Issued,220 BLOOR ST E
6,14 163707 BLD 00,Building Additions/Alterations,"May 28, 2014",Permit Issued,220 BLOOR ST E
7,14 162739 BLD 00,Building Additions/Alterations,"May 27, 2014",Permit Issued,220 BLOOR ST E
8,14 160178 BLD 00,Building Additions/Alterations,"May 22, 2014",Inspection,220 BLOOR ST E
9,14 134503 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,220 BLOOR ST E
10,14 134511 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,220 BLOOR ST E
11,14 134514 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,220 BLOOR ST E
12,14 134516 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Inspection,220 BLOOR ST E
13,13 269732 BLD 00,Building Additions/Alterations,"Nov 25, 2013",Inspection,220 BLOOR ST E
14,13 269738 BLD 00,Building Additions/Alterations,"Nov 25, 2013",Inspection,220 BLOOR ST E
15,13 269738 PLB 00,Plumbing(PS),"Nov 25, 2013",Permit Issued,220 BLOOR ST E
0,23 111067 HVA 00,Mechanical(MS),"Feb 9, 2023",Permit Issued,250 BLOOR ST E
1,23 111067 BLD 00,Building Additions/Alterations,"Feb 7, 2023",Permit Issued,250 BLOOR ST E
2,21 222935 FSU 00,Fire/Security Upgrade,"Oct 12, 2021",Permit Issued,250 BLOOR ST E
3,19 110597 BLD 00,Building Additions/Alterations,"Jan 31, 2019",Permit Issued,250 BLOOR ST E
4,16 215213 FSU 00,Fire/Security Upgrade,"Sep 6, 2016",Permit Issued,250 BLOOR ST E
5,16 181808 BLD 00,Building Additions/Alterations,"Jun 28, 2016",Permit Issued,250 BLOOR ST E
6,16 126100 BLD 00,Building Additions/Alterations,"Mar 16, 2016",Permit Issued,250 BLOOR ST E
7,16 126100 HVA 00,Mechanical(MS),"Mar 16, 2016",Permit Issued,250 BLOOR ST E
8,15 240510 FSU 00,Fire/Security Upgrade,"Oct 23, 2015",Inspection,250 BLOOR ST E
9,15 227970 BLD 00,Building Additions/Alterations,"Sep 24, 2015",Inspection,250 BLOOR ST E
10,15 152100 FSU 00,Fire/Security Upgrade,"May 8, 2015",Inspection,250 BLOOR ST E
11,15 141827 BLD 00,Building Additions/Alterations,"Apr 16, 2015",Inspection,250 BLOOR ST E
12,15 129486 BLD 00,Building Additions/Alterations,"Mar 19, 2015",Inspection,250 BLOOR ST E
13,15 125494 BLD 00,Building Additions/Alterations,"Mar 9, 2015",Permit Issued,250 BLOOR ST E
14,15 125494 HVA 00,Mechanical(MS),"Mar 9, 2015",Inspection,250 BLOOR ST E
15,15 111273 FSU 00,Fire/Security Upgrade,"Feb 9, 2015",Inspection,250 BLOOR ST E
16,15 111699 BLD 00,Building Additions/Alterations,"Feb 4, 2015",Inspection,250 BLOOR ST E
17,15 110690 BLD 00,Building Additions/Alterations,"Jan 30, 2015",Inspection,250 BLOOR ST E
18,14 265640 BLD 00,Building Additions/Alterations,"Dec 18, 2014",Permit Issued,250 BLOOR ST E
19,14 265640 HVA 00,Mechanical(MS),"Dec 18, 2014",Permit Issued,250 BLOOR ST E
20,14 265640 PLB 00,Plumbing(PS),"Dec 18, 2014",Permit Issued,250 BLOOR ST E
21,14 265650 BLD 00,Building Additions/Alterations,"Dec 18, 2014",Permit Issued,250 BLOOR ST E
22,14 265650 HVA 00,Mechanical(MS),"Dec 18, 2014",Permit Issued,250 BLOOR ST E
23,14 265650 PLB 00,Plumbing(PS),"Dec 18, 2014",Permit Issued,250 BLOOR ST E
24,14 265007 BLD 00,Building Additions/Alterations,"Dec 17, 2014",Permit Issued,250 BLOOR ST E
25,14 265007 HVA 00,Mechanical(MS),"Dec 17, 2014",Permit Issued,250 BLOOR ST E
26,14 265007 PLB 00,Plumbing(PS),"Dec 17, 2014",Permit Issued,250 BLOOR ST E
27,14 265022 BLD 00,Building Additions/Alterations,"Dec 17, 2014",Permit Issued,250 BLOOR ST E
28,14 265030 BLD 00,Building Additions/Alterations,"Dec 17, 2014",Inspection,250 BLOOR ST E
29,14 265042 BLD 00,Building Additions/Alterations,"Dec 17, 2014",Inspection,250 BLOOR ST E
30,14 261004 BLD 00,Building Additions/Alterations,"Dec 5, 2014",Inspection,250 BLOOR ST E
31,14 250050 FSU 00,Fire/Security Upgrade,"Nov 18, 2014",Inspection,250 BLOOR ST E
32,14 225704 PLB 01,Plumbing(PS),"Nov 6, 2014",Revision Issued,250 BLOOR ST E
33,14 225704 BLD 01,Building Additions/Alterations,"Nov 6, 2014",Revision Issued,250 BLOOR ST E
34,14 248792 BLD 00,Building Additions/Alterations,"Nov 6, 2014",Inspection,250 BLOOR ST E
35,14 248792 PLB 00,Plumbing(PS),"Nov 6, 2014",Permit Issued,250 BLOOR ST E
36,14 246291 FSU 00,Fire/Security Upgrade,"Nov 3, 2014",Inspection,250 BLOOR ST E
37,14 206033 BLD 01,Building Additions/Alterations,"Oct 30, 2014",Revision Issued,250 BLOOR ST E
38,14 225693 BLD 00,Building Additions/Alterations,"Sep 22, 2014",Inspection,250 BLOOR ST E
39,14 225704 BLD 00,Building Additions/Alterations,"Sep 22, 2014",Inspection,250 BLOOR ST E
40,14 225704 PLB 00,Plumbing(PS),"Sep 22, 2014",Permit Issued,250 BLOOR ST E
41,14 206357 BLD 00,Building Additions/Alterations,"Aug 14, 2014",Permit Issued,250 BLOOR ST E
42,14 206033 BLD 00,Building Additions/Alterations,"Aug 13, 2014",Inspection,250 BLOOR ST E
43,14 206041 BLD 00,Building Additions/Alterations,"Aug 13, 2014",Inspection,250 BLOOR ST E
44,14 206041 PLB 00,Plumbing(PS),"Aug 13, 2014",Permit Issued,250 BLOOR ST E
45,14 206051 BLD 00,Building Additions/Alterations,"Aug 13, 2014",Permit Issued,250 BLOOR ST E
46,14 206051 PLB 00,Plumbing(PS),"Aug 13, 2014",Permit Issued,250 BLOOR ST E
47,14 206054 BLD 00,Building Additions/Alterations,"Aug 13, 2014",Inspection,250 BLOOR ST E
48,14 206054 HVA 00,Mechanical(MS),"Aug 13, 2014",Inspection,250 BLOOR ST E
49,14 206054 PLB 00,Plumbing(PS),"Aug 13, 2014",Permit Issued,250 BLOOR ST E
50,14 206058 BLD 00,Building Additions/Alterations,"Aug 13, 2014",Inspection,250 BLOOR ST E
51,14 199364 PSA 00,Plumbing(PS),"Jul 30, 2014",Permit Issued,250 BLOOR ST E
52,14 199368 MSA 00,Mechanical(MS),"Jul 30, 2014",Permit Issued,250 BLOOR ST E
53,13 258040 BLD 00,Building Additions/Alterations,"Oct 29, 2013",Inspection,250 BLOOR ST E
54,13 258040 HVA 00,Mechanical(MS),"Oct 29, 2013",Permit Issued,250 BLOOR ST E
0,23 112367 TPS 00,Temporary Structures,"Feb 9, 2023",Permit Issued,273 BLOOR ST W
0,20 163940 BLD 00,Building Additions/Alterations,"Jul 9, 2020",Permit Issued,278 BLOOR ST E
0,19 114116 BLD 01,Building Additions/Alterations,"Aug 13, 2019",Revision Issued,300 BLOOR ST E
1,19 114116 BLD 00,Building Additions/Alterations,"Feb 11, 2019",Inspection,300 BLOOR ST E
0,21 213177 BLD 01,Building Additions/Alterations,"Mar 17, 2023",Not Started,333 BLOOR ST E
1,21 213177 HVA 01,Mechanical(MS),"Mar 17, 2023",Not Started,333 BLOOR ST E
2,22 219495 FSU 00,Fire/Security Upgrade,"Nov 7, 2022",Refusal Notice,333 BLOOR ST E
3,21 138091 FSU 02,Fire/Security Upgrade,"Jun 23, 2022",Revision Issued,333 BLOOR ST E
4,22 110097 BLD 00,Building Additions/Alterations,"Feb 28, 2022",Permit Issued,333 BLOOR ST E
5,22 110097 HVA 00,Mechanical(MS),"Feb 28, 2022",Permit Issued,333 BLOOR ST E
6,22 110097 PLB 00,Plumbing(PS),"Feb 28, 2022",Permit Issued,333 BLOOR ST E
7,21 138091 FSU 01,Fire/Security Upgrade,"Jan 27, 2022",Revision Issued,333 BLOOR ST E
8,21 245988 BLD 00,Building Additions/Alterations,"Dec 8, 2021",Inspection,333 BLOOR ST E
9,21 245988 HVA 00,Mechanical(MS),"Dec 8, 2021",Permit Issued,333 BLOOR ST E
10,21 217473 BLD 00,Building Additions/Alterations,"Sep 30, 2021",Permit Issued,333 BLOOR ST E
11,21 217473 HVA 00,Mechanical(MS),"Sep 30, 2021",Permit Issued,333 BLOOR ST E
12,21 217473 PLB 00,Plumbing(PS),"Sep 30, 2021",Permit Issued,333 BLOOR ST E
13,21 213177 HVA 00,Mechanical(MS),"Sep 21, 2021",Inspection,333 BLOOR ST E
14,21 213177 BLD 00,Building Additions/Alterations,"Sep 17, 2021",Inspection,333 BLOOR ST E
15,21 205250 BLD 00,Building Additions/Alterations,"Aug 31, 2021",Permit Issued,333 BLOOR ST E
16,21 183625 BLD 00,Building Additions/Alterations,"Jul 16, 2021",Permit Issued,333 BLOOR ST E
17,20 227701 BLD 01,Building Additions/Alterations,"Jul 7, 2021",Revision Issued,333 BLOOR ST E
18,20 227701 HVA 01,Mechanical(MS),"Jul 7, 2021",Revision Issued,333 BLOOR ST E
19,21 138091 FSU 00,Fire/Security Upgrade,"Apr 14, 2021",Inspection,333 BLOOR ST E
20,21 130260 FSU 00,Fire/Security Upgrade,"Mar 23, 2021",Permit Issued,333 BLOOR ST E
21,20 227701 BLD 00,Building Additions/Alterations,"Dec 17, 2020",Inspection,333 BLOOR ST E
22,20 227701 HVA 00,Mechanical(MS),"Dec 17, 2020",Inspection,333 BLOOR ST E
23,20 227701 PLB 00,Plumbing(PS),"Dec 17, 2020",Inspection,333 BLOOR ST E
24,18 271815 BLD 00,Building Additions/Alterations,"Dec 24, 2018",Permit Issued,333 BLOOR ST E
25,18 271815 HVA 00,Mechanical(MS),"Dec 24, 2018",Permit Issued,333 BLOOR ST E
26,18 230056 HVA 00,Mechanical(MS),"Sep 25, 2018",Inspection,333 BLOOR ST E
27,18 230056 BLD 00,Building Additions/Alterations,"Sep 24, 2018",Permit Issued,333 BLOOR ST E
28,17 269796 HVA 00,Mechanical(MS),"Dec 13, 2017",Inspection,333 BLOOR ST E
29,17 269796 BLD 00,Building Additions/Alterations,"Dec 4, 2017",Inspection,333 BLOOR ST E
30,16 182481 BLD 03,Building Additions/Alterations,"Oct 2, 2017",Revision Issued,333 BLOOR ST E
31,16 182481 BLD 02,Building Additions/Alterations,"Apr 5, 2017",Revision Issued,333 BLOOR ST E
32,16 182481 BLD 01,Building Additions/Alterations,"Nov 10, 2016",Revision Issued,333 BLOOR ST E
33,16 182481 BLD 00,Building Additions/Alterations,"Jun 29, 2016",Inspection,333 BLOOR ST E
34,16 182481 HVA 00,Mechanical(MS),"Jun 29, 2016",Inspection,333 BLOOR ST E
35,16 164830 FSU 00,Fire/Security Upgrade,"Jun 1, 2016",Permit Issued,333 BLOOR ST E
36,16 156187 BLD 00,Building Additions/Alterations,"May 16, 2016",Permit Issued,333 BLOOR ST E
37,16 122704 BLD 00,Building Additions/Alterations,"Mar 2, 2016",Inspection,333 BLOOR ST E
38,16 122726 BLD 00,Building Additions/Alterations,"Mar 2, 2016",Inspection,333 BLOOR ST E
39,15 243042 BLD 00,Building Additions/Alterations,"Nov 13, 2015",Inspection,333 BLOOR ST E
40,15 243042 HVA 00,Mechanical(MS),"Nov 13, 2015",Permit Issued,333 BLOOR ST E
41,15 243042 PLB 00,Plumbing(PS),"Nov 13, 2015",Permit Issued,333 BLOOR ST E
42,15 238351 BLD 00,Building Additions/Alterations,"Oct 16, 2015",Permit Issued,333 BLOOR ST E
43,15 212832 BLD 00,Building Additions/Alterations,"Aug 26, 2015",Inspection,333 BLOOR ST E
44,15 135093 BLD 00,Building Additions/Alterations,"Apr 1, 2015",Permit Issued,333 BLOOR ST E
45,15 129460 FSU 00,Fire/Security Upgrade,"Mar 19, 2015",Permit Issued,333 BLOOR ST E
46,15 121041 PLB 00,Plumbing(PS),"Feb 25, 2015",Permit Issued,333 BLOOR ST E
47,15 111254 HVA 00,Mechanical(MS),"Feb 3, 2015",Inspection,333 BLOOR ST E
48,14 264521 HVA 00,Mechanical(MS),"Dec 18, 2014",Permit Issued,333 BLOOR ST E
49,14 264521 PLB 00,Plumbing(PS),"Dec 18, 2014",Permit Issued,333 BLOOR ST E
50,14 264521 BLD 00,Building Additions/Alterations,"Dec 17, 2014",Inspection,333 BLOOR ST E
51,14 226951 BLD 00,Building Additions/Alterations,"Oct 1, 2014",Inspection,333 BLOOR ST E
52,14 226951 HVA 00,Mechanical(MS),"Oct 1, 2014",Inspection,333 BLOOR ST E
53,14 226957 BLD 00,Building Additions/Alterations,"Oct 1, 2014",Inspection,333 BLOOR ST E
54,14 230926 MSA 00,Mechanical(MS),"Oct 1, 2014",Inspection,333 BLOOR ST E
0,23 123739 BLD 00,Building Additions/Alterations,"Mar 17, 2023",Under Review,345 BLOOR ST E
1,23 123066 HVA 00,Mechanical(MS),"Mar 16, 2023",Not Started,345 BLOOR ST E
2,23 123066 BLD 00,Building Additions/Alterations,"Mar 14, 2023",Response Received,345 BLOOR ST E
3,23 119445 BLD 00,Building Additions/Alterations,"Mar 6, 2023",Permit Issued,345 BLOOR ST E
4,23 119445 HVA 00,Mechanical(MS),"Mar 6, 2023",Not Started,345 BLOOR ST E
5,23 119445 PLB 00,Plumbing(PS),"Mar 6, 2023",Not Started,345 BLOOR ST E
6,23 100859 BLD 00,Building Additions/Alterations,"Jan 5, 2023",Inspection,345 BLOOR ST E
7,23 100859 HVA 00,Mechanical(MS),"Jan 5, 2023",Permit Issued,345 BLOOR ST E
8,23 100859 PLB 00,Plumbing(PS),"Jan 5, 2023",Issuance Pending,345 BLOOR ST E
9,22 238655 HVA 00,Mechanical(MS),"Dec 14, 2022",Permit Issued,345 BLOOR ST E
10,22 238655 PLB 00,Plumbing(PS),"Dec 14, 2022",Permit Issued,345 BLOOR ST E
11,22 238655 BLD 00,Building Additions/Alterations,"Dec 12, 2022",Permit Issued,345 BLOOR ST E
12,22 114415 PLB 01,Plumbing(PS),"Apr 27, 2022",Revision Issued,345 BLOOR ST E
13,21 230301 HVA 01,Mechanical(MS),"Mar 21, 2022",Revision Issued,345 BLOOR ST E
14,22 114415 BLD 00,Building Additions/Alterations,"Feb 17, 2022",Inspection,345 BLOOR ST E
15,22 114415 HVA 00,Mechanical(MS),"Feb 17, 2022",Inspection,345 BLOOR ST E
16,22 114415 PLB 00,Plumbing(PS),"Feb 17, 2022",Inspection,345 BLOOR ST E
17,21 230301 HVA 00,Mechanical(MS),"Oct 29, 2021",Permit Issued,345 BLOOR ST E
0,16 114250 BLD 00,Building Additions/Alterations,"Feb 9, 2016",Inspection,350 BLOOR ST E
1,15 113799 BLD 01,Building Additions/Alterations,"Mar 13, 2015",Revision Issued,350 BLOOR ST E
2,15 113799 BLD 00,Building Additions/Alterations,"Feb 9, 2015",Inspection,350 BLOOR ST E
3,13 260781 HVA 00,Mechanical(MS),"Nov 4, 2013",Inspection,350 BLOOR ST E
4,13 240843 BLD 00,Building Additions/Alterations,"Sep 24, 2013",Inspection,350 BLOOR ST E
5,13 192589 MSA 00,Mechanical(MS),"Jun 21, 2013",Inspection,350 BLOOR ST E
0,21 164229 BLD 00,Building Additions/Alterations,"Jun 8, 2021",Inspection,360 BLOOR ST E
1,21 144424 MSA 00,Mechanical(MS),"Apr 22, 2021",Inspection,360 BLOOR ST E
2,19 122242 PLB 00,Plumbing(PS),"Mar 18, 2019",Inspection,360 BLOOR ST E
3,19 122242 BLD 00,Building Additions/Alterations,"Mar 12, 2019",Inspection,360 BLOOR ST E
4,19 122242 HVA 00,Mechanical(MS),"Mar 12, 2019",Inspection,360 BLOOR ST E
5,18 144707 FSU 00,Fire/Security Upgrade,"Apr 17, 2018",Permit Issued,360 BLOOR ST E
6,18 102610 BLD 00,Building Additions/Alterations,"Jan 9, 2018",Inspection,360 BLOOR ST E
7,18 102610 HVA 00,Mechanical(MS),"Jan 9, 2018",Inspection,360 BLOOR ST E
8,16 235616 BLD 00,Building Additions/Alterations,"Oct 13, 2016",Permit Issued,360 BLOOR ST E
9,13 210110 BLD 00,Building Additions/Alterations,"Jul 24, 2013",Inspection,360 BLOOR ST E
10,13 155157 PSA 00,Plumbing(PS),"Apr 23, 2013",Permit Issued,360 BLOOR ST E
0,23 123739 BLD 00,Building Additions/Alterations,"Mar 17, 2023",Under Review,365 BLOOR ST E
1,23 123066 HVA 00,Mechanical(MS),"Mar 16, 2023",Not Started,365 BLOOR ST E
2,23 123066 BLD 00,Building Additions/Alterations,"Mar 14, 2023",Response Received,365 BLOOR ST E
3,23 119445 BLD 00,Building Additions/Alterations,"Mar 6, 2023",Permit Issued,365 BLOOR ST E
4,23 119445 HVA 00,Mechanical(MS),"Mar 6, 2023",Not Started,365 BLOOR ST E
5,23 119445 PLB 00,Plumbing(PS),"Mar 6, 2023",Not Started,365 BLOOR ST E
6,23 100859 BLD 00,Building Additions/Alterations,"Jan 5, 2023",Inspection,365 BLOOR ST E
7,23 100859 HVA 00,Mechanical(MS),"Jan 5, 2023",Permit Issued,365 BLOOR ST E
8,23 100859 PLB 00,Plumbing(PS),"Jan 5, 2023",Issuance Pending,365 BLOOR ST E
9,22 114415 BLD 00,Building Additions/Alterations,"Feb 17, 2022",Inspection,365 BLOOR ST E
10,22 114415 HVA 00,Mechanical(MS),"Feb 17, 2022",Inspection,365 BLOOR ST E
11,22 114415 PLB 00,Plumbing(PS),"Feb 17, 2022",Inspection,365 BLOOR ST E
0,19 122242 PLB 00,Plumbing(PS),"Mar 18, 2019",Inspection,366 BLOOR ST E
1,19 122242 BLD 00,Building Additions/Alterations,"Mar 12, 2019",Inspection,366 BLOOR ST E
2,19 122242 HVA 00,Mechanical(MS),"Mar 12, 2019",Inspection,366 BLOOR ST E
3,18 102610 BLD 00,Building Additions/Alterations,"Jan 9, 2018",Inspection,366 BLOOR ST E
4,18 102610 HVA 00,Mechanical(MS),"Jan 9, 2018",Inspection,366 BLOOR ST E
0,22 212286 FSU 01,Fire/Security Upgrade,"Feb 17, 2023",Revision Issued,387 BLOOR ST E
1,22 212286 FSU 00,Fire/Security Upgrade,"Oct 4, 2022",Inspection,387 BLOOR ST E
2,16 253822 BLD 05,New Building,"Sep 29, 2022",Revision Issued,387 BLOOR ST E
3,16 253822 BLD 04,New Building,"Mar 8, 2022",Revision Issued,387 BLOOR ST E
4,16 253822 BLD 03,New Building,"Jul 5, 2021",Revision Issued,387 BLOOR ST E
5,16 253822 BLD 02,New Building,"May 26, 2020",Revision Issued,387 BLOOR ST E
6,16 253822 BLD 01,New Building,"Jan 6, 2020",Inspection,387 BLOOR ST E
7,16 253822 PLB 01,Plumbing(PS),"Jan 6, 2020",Revision Issued,387 BLOOR ST E
8,16 253822 HVA 01,Mechanical(MS),"Jan 6, 2020",Revision Issued,387 BLOOR ST E
9,16 253822 BLD 00,New Building,"Nov 21, 2016",Inspection,387 BLOOR ST E
10,16 253822 HVA 00,Mechanical(MS),"Nov 21, 2016",Inspection,387 BLOOR ST E
11,16 253822 PLB 00,Plumbing(PS),"Nov 21, 2016",Inspection,387 BLOOR ST E
12,16 253822 DRN 00,Drain and Site Service,"Nov 21, 2016",Inspection,387 BLOOR ST E
0,22 188725 FSU 00,Fire/Security Upgrade,"Aug 11, 2022",Permit Issued,388 BLOOR ST E
0,22 179748 SGN 00,Sign Permit,"Jul 21, 2022",Permit Issued,401 BLOOR ST E
1,22 179748 DST 00,Designated Structures,"Jul 21, 2022",Permit Issued,401 BLOOR ST E
2,18 215604 BLD 00,Building Additions/Alterations,"Aug 27, 2018",Permit Issued,401 BLOOR ST E
3,16 253822 BLD 00,New Building,"Nov 21, 2016",Inspection,401 BLOOR ST E
4,16 253822 HVA 00,Mechanical(MS),"Nov 21, 2016",Inspection,401 BLOOR ST E
5,16 253822 PLB 00,Plumbing(PS),"Nov 21, 2016",Inspection,401 BLOOR ST E
6,16 253822 DRN 00,Drain and Site Service,"Nov 21, 2016",Inspection,401 BLOOR ST E
0,14 223515 FSU 00,Fire/Security Upgrade,"Sep 17, 2014",Inspection,409 BLOOR ST E
0,22 232816 HVA 00,Mechanical(MS),"Nov 29, 2022",Permit Issued,419 BLOOR ST E
1,22 232816 PLB 00,Plumbing(PS),"Nov 29, 2022",Permit Issued,419 BLOOR ST E
2,22 232816 BLD 00,Building Additions/Alterations,"Nov 25, 2022",Permit Issued,419 BLOOR ST E
3,21 189543 HVA 00,Mechanical(MS),"Jul 28, 2021",Inspection,419 BLOOR ST E
4,21 189543 BLD 00,Building Additions/Alterations,"Jul 27, 2021",Inspection,419 BLOOR ST E
5,21 189543 PLB 00,Plumbing(PS),"Jul 27, 2021",Inspection,419 BLOOR ST E
0,21 164294 HVA 00,Mechanical(MS),"Jun 8, 2021",Inspection,421 BLOOR ST E
